Consumer_number,Consumer_type
CEVI71356500952316,domestic
AQME99306617492920,domestic
AMZA53922652651332,domestic
ALRM20397380046062,domestic
AZGC78268663958179,domestic
BIHR11743601313651,domestic
AXLC67724573890557,domestic
ASEZ05052894213362,domestic
CIGU16822134207871,domestic
AFEB05877096264865,domestic
BWCA48911841872706,domestic
APZN76848851042611,domestic
ANJH91492596366049,domestic
AYNA37635557935055,domestic
AZON20387657242393,domestic
AIQV34906561285029,domestic
AVEG14100812519378,domestic
ADKI14147498981435,domestic
AMEQ16502856938546,domestic
BQPH50268360567546,domestic
AHRS09143478140413,domestic
CQLD45280025732099,domestic
AHNW14635116957638,domestic
AUYW94980027055621,domestic
AMYE55794050662655,domestic
CAQZ11415642108337,domestic
AGLF62214221552203,domestic
ANTY71559607274752,domestic
CGKG11407464413267,domestic
CJJF75060119174181,domestic
BZRZ00149015399595,domestic
AYXL65456998879254,domestic
APAL45486156533237,domestic
BHSP08546415984939,domestic
CDZI81040937777619,domestic
ATPV63467729485299,domestic
AYQO37717220378314,domestic
AFWT26858278695881,domestic
BPEH22292342068713,domestic
ANUC88458899217191,domestic
AAFB08665155868896,domestic
CDYL37398684716153,domestic
BJCI93475546807689,domestic
BEBN56018265630578,domestic
AVCV26042872026220,domestic
AWST84897491166731,domestic
CHVB53003595688659,domestic
AXJA16913850614550,domestic
BVVV31533539468169,domestic
CPZB44498856259050,domestic
BADW26867242895536,domestic
BIPM35622302457466,domestic
CRWI17598010808622,domestic
AKVI41889850773856,domestic
ANFL11874008096251,domestic
BOOP60477302483001,domestic
BBPL06051624912427,domestic
BUGP14881958513821,domestic
CDVT52568213116894,domestic
AZEJ12165558651749,domestic
CLTU41669595225713,domestic
ALQO83832328097092,domestic
BFSY55248774146033,domestic
AOPS32757061277582,domestic
BFTX77600840373459,domestic
ARRJ92904952558330,domestic
BVZK48829409709070,domestic
BAFB39096985705278,domestic
BPDX61937384716069,domestic
APCV75193862317784,domestic
CAAS12715586930209,domestic
BUWL44792374295618,domestic
AQUF30081453276081,domestic
AWDY99115030359349,domestic
AJQX46487306093741,domestic
CDSR57726471979889,domestic
BITQ22604577830869,domestic
CSAM33330790477403,domestic
APIA97244707294818,domestic
BIDB85360748640383,domestic
6DPSTCGMKCX00SX7HH1I,low income families
BGGA05002756012546,domestic
BFNL30354160497783,domestic
AMYU87071292658613,domestic
ANJY21490989116841,domestic
ATKN12858218389468,domestic
APRY44422747384172,domestic
ALXO27682814577852,domestic
ADMG63125215360680,domestic
AHEP78890449347712,domestic
BOFV10802306965889,domestic
BOPX87942429957232,domestic
BMUW64719868740298,domestic
AEUJ09164409405566,domestic
CAGR26854066714612,domestic
CGQN86824330487885,domestic
CGHP00447891914038,domestic
AXHM70567649127513,domestic
CCYH87445309777574,domestic
BHLL20235937288740,domestic
AQME99306617492920,domestic
AIOK61793661007767,domestic
ALRM20397380046062,domestic
AXLC67724573890557,domestic
AFEB05877096264865,domestic
BWCA48911841872706,domestic
APZN76848851042611,domestic
ANJH91492596366049,domestic
BTTP00141586071638,domestic
BPEM68678858839222,domestic
AFMC51395024265665,domestic
CKWW91936441690769,domestic
BKND47233359355260,domestic
AZON20387657242393,domestic
AVEG14100812519378,domestic
BZME96986574105318,domestic
BBZN57786677603034,domestic
BQPH50268360567546,domestic
ARWK85633265387042,domestic
AEFC75773517033943,domestic
BBLU34217166774977,domestic
AMYE55794050662655,domestic
CPZA08237402417956,domestic
CAQZ11415642108337,domestic
ANTY71559607274752,domestic
BZRZ00149015399595,domestic
CJVC87483809127563,domestic
6I98U895XX940ZQYQUQV,domestic
ANRQ13695652944696,domestic
BAIN53842535561578,domestic
CQRB96881553608448,domestic
ATPV63467729485299,domestic
AJSG95207591772608,domestic
BPEH22292342068713,domestic
BYSH05055612998230,domestic
AENA41530180538299,domestic
AAFB08665155868896,domestic
ACCU02558106295709,domestic
BBSH87353674275768,domestic
AFSY54170563671170,domestic
CRSX61241165447718,domestic
AMUF47602690898684,domestic
AWST84897491166731,domestic
BVVV31533539468169,domestic
BADW26867242895536,domestic
CFUN91513615869213,domestic
BLRM57665140263202,domestic
CDVT52568213116894,domestic
AZEJ12165558651749,domestic
BJOB12669413352799,domestic
AIGB13482865389566,domestic
CLTU41669595225713,domestic
AOUJ18409107486383,domestic
ALQO83832328097092,domestic
BFSY55248774146033,domestic
CSBA21357316541778,domestic
AOEJ89843581679040,domestic
BLOS85160469056754,domestic
BPDX61937384716069,domestic
APCV75193862317784,domestic
BUWL44792374295618,domestic
AJQX46487306093741,domestic
BIZO63036556944015,domestic
BITQ22604577830869,domestic
AWLC22452172120509,domestic
BIDB85360748640383,domestic
BGGA05002756012546,domestic
BUJU38539004541288,domestic
AIDQ59880921518463,domestic
AMYU87071292658613,domestic
BSFY52584510916687,domestic
AGDQ63255866517176,domestic
AKNC63427633051928,domestic
CITO37121789775931,domestic
BJVI70824794524299,domestic
CCLZ98806239236167,domestic
APCB80847750468901,domestic
ADQF93078741597368,domestic
AINE72830958617139,domestic
CNXD53710738547855,domestic
AXII63775419907722,domestic
